logical_ln.,Science_st.,Science_sect.st.,Myklebust_sect.ln.,Schümmer_st.
1,1,Pref1.1,P1.1,1
9,2,Pref1.2,P1.9,2
17,3,Pref1.3,P1.17,3
25,4,Pref1.4,P1.25,4
33,5,Pref1.5,P1.33,5
41,6,Pref1.6,P1.41,6
49,7,Pref1.7,P1.49,7
57,8,Pref1.8,P1.57,8
65,9,Pref1.9,P1.65,9
73,10,Prol.1,P1.73,10
81,11,Prol.2,P1.81,11
89,12,Prol.3,P1.89,12
97,13,Prol.4,P1.97,13
105,14,Prol.5,P1.105,14
113,15,Prol.6,P1.113,15
121,16,Prol.7,P1.121,16
129,17,Prol.8,P1.129,17
137,18,Prol.9,P1.137,18
145,19,Prol.10,P1.145,19
153,20,Prol.11,P1.153,20
161,21,Prol.12,P1.161,21
169,22,Prol.13,P1.169,22
177,23,Prol.14,P1.177,23
185,24,Prol.15,P1.185,24
193,25,Prol.16,P1.193,25
201,26,Prol.17,P1.201,26
209,27,Prol.18,P1.209,27
217,28,Prol.19,P1.217,28
225,29,Prol.20,P1.225,29
233,30,Prol.21,P1.233,30
241,31,Prol.22,P1.241,31
249,32,1m1.1,1.1,32
257,33,1m1.2,1.9,33
265,34,1m1.3,1.17,34
273,35,1m1.4,1.25,35
281,36,1m1.5,1.33,36
289,37,1m1.6,1.41,37
297,38,1p1.1,1.49,38
305,39,1p1.2,1.57,39
313,40,1p1.3,1.65,40
321,41,1p1.4,1.73,41
329,42,1p1.5,1.81,42
337,43,1p1.6,1.89,43
345,44,1p1.7,1.97,44
353,45,1p1.8,1.105,45
361,46,1p1.9,1.113,46
369,47,1p1.10,1.121,47
377,48,1p1.11,1.129,48
385,49,1p1.12,1.137,49
393,50,1m2.1,1.145,50
401,51,1m2.2,1.153,51
409,52,1m2.3,1.161,52
417,53,1m2.4,1.169,53
425,54,1m2.5,1.177,54
433,55,1p2.1,1.185,55
441,56,1p2.2,1.193,56
449,57,1p2.3,1.201,57
457,58,1p2.4,1.209,58
465,59,1m3.1,1.217,59
473,60,1p3.1,1.225,60
481,61,1p3.2,1.233,61
489,62,1p3.3,1.241,62
497,63,1p3.4,1.249,63
505,64,1p3.5,1.257,64
513,65,1p3.6,1.265,65
521,66,1p3.7,1.273,66
529,67,1p3.8,1.281,67
537,68,1p3.9,1.289,68
545,69,1p3.10,1.297,69
553,70,1p3.11,1.305,70
561,71,1m4.1,1.313,71
569,72,1m4.2,1.321,72
577,73,1m4.3,1.329,73
585,74,1p4.1,1.337,74
593,75,1p4.2,1.345,75
601,76,1p4.3,1.353,76
609,77,1p4.4,1.361,77
617,78,1p4.5,1.369,78
625,79,1p4.6,1.377,79
633,80,1p4.7,1.385,80
641,81,1p4.8,1.393,81
649,82,1p4.9,1.401,82
657,83,1p4.10,1.409,83
665,84,1p4.11,1.417,84
673,85,1p4.12,1.425,85
681,86,1p4.13,1.433,86
689,87,1p4.14,1.441,87
697,88,1p4.15,1.449,88
705,89,1p4.16,1.457,89
713,90,1p4.17,1.465,90
721,91,1p4.18,1.473,91
729,92,1p4.19,1.481,92
737,93,1p4.20,1.489,93
745,94,1p4.21,1.497,94
753,95,1p4.22,1.505,95
761,96,1p4.23,1.513,96
769,97,1p4.24,1.521,97
777,98,1p4.25,1.529,98
785,99,1p4.26,1.537,99
793,100,1p4.27,1.545,100
801,101,1p4.28,1.553,101
809,102,1p4.29,1.561,102
817,103,1p4.30,1.569,103
825,104,1p4.31,1.577,104
833,105,1p4.32,1.585,105
841,not found,not found,not found,106
849,106,1p4.33,1.593,107
857,107,1p4.34,1.601,108
865,108,1p4.35,1.609,109
873,109,1p4.36,1.617,110
881,110,1p4.37,1.625,111
889,111,1p4.38,1.633,112
897,112,1p4.39,1.641,113
905,113,1p4.40,1.649,114
913,114,1p4.41,1.657,115
921,115,1p4.42,1.665,116
929,116,1m5.1,1.673,117
937,117,1m5.2,1.681,118
945,118,1m5.3,1.689,119
953,119,1m5.4,1.697,120
961,120,1m5.5,1.705,121
969,121,1m5.6,1.713,122
977,122,1m5.7,1.721,123
985,123,1m5.8,1.729,124
993,124,1p5.1,1.737,125
1001,125,1p5.2,1.745,126
1009,126,1p5.3,1.753,127
1017,127,1p5.4,1.761,128
1025,128,1p5.5,1.769,129
1033,129,1p5.6,1.777,130
1041,130,1p5.7,1.785,131
1049,131,1p5.8,1.793,132
1057,132,1p5.9,1.801,133
1065,133,1p5.10,1.809,134
1073,134,1p5.11,1.817,135
1081,135,1p5.12,1.825,136
1089,136,1m6.1,1.833,137
1097,137,1m6.2,1.841,138
1105,138,1m6.3,1.849,139
1113,139,1p6.1,1.857,140
1121,140,1p6.2,1.865,141
1129,141,1p6.3,1.873,142
1137,142,1p6.4,1.881,143
1145,143,1p6.5,1.889,144
1153,144,1p6.6,1.897,145
1161,145,1p6.7,1.905,146
1169,146,1p6.8,1.913,147
1177,147,1p6.9,1.921,148
1185,148,1p6.10,1.929,149
1193,149,1p6.11,1.937,150
1201,150,1p6.12,1.945,151
1209,151,1p6.13,1.953,152
1217,152,1p6.14,1.961,153
1225,153,1m7.1,1.969,154
1233,154,1m7.2,1.977,155
1241,155,1m7.3,1.985,156
1249,156,2p1.1,2.1,not found
1257,157,2p1.2,2.9,not found
1265,158,2p1.3,2.17,not found
1273,159,2p1.4,2.25,not found
1281,160,2p1.5,2.33,not found
1289,161,2p1.6,2.41,not found
1297,162,2p1.7,2.49,not found
1305,163,2p1.8,2.57,not found
1313,164,2p1.9,2.65,not found
1321,165,2p1.10,2.73,not found
1329,166,2p1.11,2.81,not found
1337,167,2p1.12,2.89,not found
1345,168,2p1.13,2.97,not found
1353,169,2p1.14,2.105,not found
1361,170,2p1.15,2.113,not found
1369,171,2p1.16,2.121,not found
1377,172,2m1.1,2.129,not found
1385,173,2m1.2,2.137,not found
1393,174,2p2.1,2.145,not found
1401,175,2p2.2,2.153,not found
1409,176,2p2.3,2.161,not found
1417,177,2p2.4,2.169,not found
1425,178,2p2.5,2.177,not found
1433,179,2p2.6,2.185,not found
1441,180,2p2.7,2.193,not found
1449,181,2p2.8,2.201,not found
1457,182,2p2.9,2.209,not found
1465,183,2p2.10,2.217,not found
1473,184,2p2.11,2.225,not found
1481,185,2m2.1,2.233,not found
1489,186,2m2.2,2.241,not found
1497,187,2m2.3,2.249,not found
1505,188,2p3.1,2.257,not found
1513,189,2p3.2,2.265,not found
1521,190,2p3.3,2.273,not found
1529,191,2p3.4,2.281,not found
1537,192,2p3.5,2.289,not found
1545,193,2p3.6,2.297,not found
1553,194,2p3.7,2.305,not found
1561,195,2p3.8,2.313,not found
1569,196,2p3.9,2.321,not found
1577,197,2p3.10,2.329,not found
1585,198,2p3.11,2.337,not found
1593,199,2p3.12,2.345,not found
1601,200,2p3.13,2.353,not found
1609,201,2m3.1,2.361,not found
1617,202,2m3.2,2.369,not found
1625,203,2m3.3,2.377,not found
1633,204,2p4.1,2.385,not found
1641,205,2p4.2,2.393,not found
1649,206,2p4.3,2.401,not found
1657,207,2p4.4,2.409,not found
1665,208,2p4.5,2.417,not found
1673,209,2p4.6,2.425,not found
1681,210,2p4.7,2.433,not found
1689,211,2p4.8,2.441,not found
1697,212,2p4.9,2.449,not found
1705,213,2p4.10,2.457,not found
1713,214,2p4.11,2.465,not found
1721,215,2p4.12,2.473,not found
1729,216,2p4.13,2.481,not found
1737,217,2p4.14,2.489,not found
1745,218,2p4.15,2.497,not found
1753,219,2p4.16,2.505,not found
1761,220,2p4.17,2.513,not found
1769,221,2p4.18,2.521,not found
1777,222,2p4.19,2.529,not found
1785,223,2p4.20,2.537,not found
1793,224,2p4.21,2.545,not found
1801,225,2p4.22,2.553,not found
1809,226,2p4.23,2.561,not found
1817,227,2p4.24,2.569,not found
1825,228,2m4.1,2.577,not found
1833,229,2m4.2,2.585,not found
1841,230,2m4.3,2.593,not found
1849,231,2p5.1,2.601,not found
1857,232,2p5.2,2.609,not found
1865,233,2p5.3,2.617,not found
1873,234,2p5.4,2.625,not found
1881,235,2p5.5,2.633,not found
1889,236,2p5.6,2.641,not found
1897,237,2p5.7,2.649,not found
1905,238,2p5.8,2.657,not found
1913,239,2p5.9,2.665,not found
1921,240,2p5.10,2.673,not found
1929,241,2p5.11,2.681,not found
1937,242,2p5.12,2.689,not found
1945,243,2p5.13,2.697,not found
1953,244,2p5.14,2.705,not found
1961,245,2p5.15,2.713,not found
1969,246,2p5.16,2.721,not found
